group0,group1,group2,marka,model,catalog_number,reason
гидравлический компонент,редуктор,редуктор хода,xcmg,,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,cat,317,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,cat,322,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,xcmg,,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,john deere,,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,cat,345,,Not found on Avito
гидравлический компонент,редуктор,редуктор поворота,sany,,,Not found on Avito
гидравлический компонент,редуктор,!,hyundai,R250LC-7,31n7-40020,Not found on Avito
запчасти двигателя,турбокомпрессор,,doosan,DX225LL-5,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,hyundai,R210W-9S,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,hyundai,,,Not found on Avito
ходовая часть,натяжитель,натяжитель в сборе,hyundai,R210LC-7,,Not found on Avito
запчасти двигателя,генератор,,doosan,DX300LC-A,,Not found on Avito
гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,hyundai,R450LC-7,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,hyundai,R330LC-9S,,Not found on Avito
гидравлический компонент,гидромотор,!,hyundai,R330LC-9S,,Not found on Avito
гидравлический компонент,редуктор,!,cat,322,,Not found on Avito
запчасти двигателя,ремни и ролики,ремень генератора,cat,,,Not found on Avito
